Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
BASP1-AS1,18099,7.169375234,7.140227929,236.8949073,0,0,844.9489145
MTMR2,22103,6.784868511,6.743413285,236.8890657,0,0,844.9408253
RNF168,27487,6.614553189,6.588170332,236.8237107,0,0,844.850311
TMEM242,3733,6.866978512,6.832664639,236.7161097,0,0,844.7012324
RNU6-542P,13948,6.515648912,6.543114227,236.7006441,0,0,844.6797996
CENPVL3,6154,7.315105974,7.292698294,236.6665067,0,0,844.6324858
TTC27,27085,11.91731078,11.91049531,236.5856719,0,0,844.5204224
MYMX,22319,6.912677972,6.863824051,236.5855883,0,0,844.5203065
SOX11,17000,6.608252035,6.635861416,236.5588401,0,0,844.4832164
ARPIN,25153,6.576342921,6.608828015,236.3932529,0,0,844.2535118
LINC00271,21253,6.707644916,6.693719335,236.3894703,0,0,844.2482627
CALHM1,21058,6.654727685,6.657671904,236.3769429,0,0,844.2308776
KIR2DL1,23478,6.508896577,6.531366613,236.3702931,0,0,844.2216488
UBE2Q2P1,3276,6.89498322,6.900123509,236.3637718,0,0,844.2125982
HPSE2,22326,10.73067241,10.73119987,236.3566849,0,0,844.2027623
PRKCA-AS1,4976,6.282071097,6.346835555,236.3383696,0,0,844.1773412
ADAMTS18,20342,7.153445652,7.154990941,236.3368432,0,0,844.1752224
CTAGE6,604,6.597388756,6.621031201,236.2772138,0,0,844.0924442
TMEM86B,7064,7.013098738,6.963922209,236.2454254,0,0,844.0483065
SLC66A1L,27570,6.645961085,6.666433473,236.2348006,0,0,844.0335528
KLHL7,13321,6.972812643,6.960381733,236.2044225,0,0,843.9913658
TULP2,15692,6.435914405,6.452417367,236.1995036,0,0,843.9845342
CHMP2A,2953,7.233933955,7.173494651,236.1858828,0,0,843.9656164
GABPAP,23469,6.869494468,6.889052779,236.1555082,0,0,843.9234254
PCMTD1,22775,6.49896515,6.510119694,236.1401567,0,0,843.9020998
LOC101927066,7823,11.39289355,11.42290637,236.1389896,0,0,843.9004784
PILRB,23830,6.64088085,6.689345673,236.0948709,0,0,843.8391826
IPO7P1,9792,12.54816167,12.53599528,236.0844713,0,0,843.8247322
CYP26C1,24245,6.384665269,6.422665241,235.9990026,0,0,843.705949
UBR7,20338,6.813975138,6.835266455,235.989651,0,0,843.6929496
PDS5A,3861,6.93724664,6.920284159,235.948949,0,0,843.636365
ZDHHC24,25574,6.518011823,6.501431102,235.9289162,0,0,843.6085114
LNCOG,23929,6.767661964,6.7843511,235.9285161,0,0,843.607955
TEAD4,25634,6.698315899,6.719509254,235.8866171,0,0,843.549691
SLBP,9791,11.40557413,11.40977013,235.8244084,0,0,843.4631653
MRPS14,19347,8.406536302,8.350851596,235.8142798,0,0,843.4490752
FZD8,8513,13.3956272,13.30439093,235.7506124,0,0,843.3604929
SIGLEC15,18592,12.40692594,12.40835886,235.7431105,0,0,843.3500537
TTC33,5995,6.681168277,6.653246432,235.7409696,0,0,843.3470745
POLR2A,11565,6.492563276,6.509343594,235.6988278,0,0,843.2884258
AIFM1,174,6.521020073,6.520939721,235.6960908,0,0,843.2846163
HEG1,16304,6.23295343,6.276037939,235.6617751,0,0,843.2368507
KCMF1,25734,11.10128799,11.11959696,235.6585061,0,0,843.2323
IGFBP1,22636,12.52978877,12.50653831,235.6567987,0,0,843.2299233
PSMF1,1198,6.631335341,6.651665586,235.6245555,0,0,843.1850352
SLC25A3,16345,6.873769445,6.83926113,235.6165424,0,0,843.1738786
CUTA,12483,6.426268511,6.463101397,235.5146841,0,0,843.0320286
HMGA1,23015,7.148255379,7.08662212,235.5063202,0,0,843.0203781
MAP3K21,13974,6.638394967,6.669766841,235.5048299,0,0,843.0183021
HOXA10,9371,6.905277041,6.923252353,235.4738958,0,0,842.9752085
UNC45A,5039,6.775991156,6.79317684,235.4549117,0,0,842.9487595
LOC285095,3167,6.620377826,6.604928839,235.3773749,0,0,842.8407109
TFDP1,14638,6.478359624,6.500569522,235.3671622,0,0,842.8264767
LMNTD1,8607,6.596406134,6.586213662,235.2864666,0,0,842.7139833
RPL36,26454,6.979070346,6.955894161,235.2785717,0,0,842.7029754
DDB1,19811,6.664246828,6.700918574,235.2689131,0,0,842.6895077
RAB3A,24908,7.248656918,7.228740465,235.2460878,0,0,842.6576788
PACRGL,16004,6.816565316,6.806372837,235.2286826,0,0,842.6334059
MRC1,4941,7.25958249,7.190446084,235.1928828,0,0,842.5834745
C9orf43,12106,7.19633257,7.180985357,235.1032689,0,0,842.4584527
NDOR1,7600,6.420235623,6.441569981,235.0336876,0,0,842.3613457
MGAM2,22630,6.619452546,6.649609906,234.9143508,0,0,842.1947327
NTN3,14825,6.712401944,6.720175758,234.9029374,0,0,842.1787934
EIF4G3,20652,6.945304932,6.925359328,234.8688635,0,0,842.1312028
AKAP12,8961,6.261412904,6.253130773,234.851371,0,0,842.1067686
CCDC74A,2094,6.730720862,6.7491384,234.8184151,0,0,842.0607295
AKAP9,21338,11.46079338,11.49383247,234.8168907,0,0,842.0585997
SLC28A3,10922,11.50407906,11.56673172,234.8131671,0,0,842.0533975
ZBTB20,21049,6.507736913,6.560445827,234.8067492,0,0,842.0444307
MAPK14,8347,6.865653746,6.898766411,234.7965272,0,0,842.0301486
AMOT,17637,6.512098509,6.51014107,234.7898728,0,0,842.0208509
ZEB2,3517,6.930021844,6.92286855,234.6909708,0,0,841.8826295
SREK1,16409,6.657141163,6.660109868,234.6661978,0,0,841.8479986
PPP1R2C,7840,6.738656861,6.746705011,234.6339855,0,0,841.8029625
CTDNEP1,11221,6.583266368,6.592781086,234.6278005,0,0,841.7943146
PCNX2,27338,6.629247517,6.622571004,234.6129381,0,0,841.7735328
RTRAF,3236,6.686788822,6.713274004,234.5801925,0,0,841.7277406
PSG11,23351,10.84553626,10.85817001,234.5780568,0,0,841.7247537
LOC105376738,21966,6.512192545,6.472937386,234.5372427,0,0,841.6676688
