Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
SPRR1A,19538,7.578588082,7.631073189,61.82263019,2.16E-184,2.79E-184,411.7785534
REEP2,27270,9.250899761,9.098918057,61.81787357,2.21E-184,2.85E-184,411.7549895
TRIM59,22799,9.455727782,9.566903852,61.80139749,2.40E-184,3.10E-184,411.6733564
SVOPL,13671,8.145919968,8.067544624,61.79578517,2.47E-184,3.18E-184,411.6455452
POLDIP3,19028,10.0268708,9.881132578,61.78300817,2.63E-184,3.39E-184,411.5822222
LOC105371243,8372,9.895272595,10.00448338,61.7815673,2.65E-184,3.41E-184,411.5750806
MCM5,10752,8.345225583,8.410051778,61.77530699,2.73E-184,3.52E-184,411.5440498
ADNP2,5513,9.349329036,9.547725736,61.76989824,2.81E-184,3.62E-184,411.5172378
SPANXB1,20488,8.341806126,8.410453201,61.7685776,2.83E-184,3.64E-184,411.5106909
TBCCD1,1194,7.041915097,7.148717098,61.76367938,2.89E-184,3.73E-184,411.4864075
FBLN2,23097,8.616115663,8.552645325,61.75881094,2.97E-184,3.82E-184,411.4622702
PAG1,11741,7.114901217,7.221778171,61.75804907,2.98E-184,3.84E-184,411.4584928
SP8,10391,11.06638069,11.05827675,61.756935,2.99E-184,3.86E-184,411.4529691
DHFR,24131,6.741828891,6.82020791,61.74859203,3.12E-184,4.02E-184,411.4116005
ARGFX,13726,6.823146724,6.916167095,61.74519037,3.17E-184,4.09E-184,411.3947321
PEMT,26284,7.290088176,7.268333302,61.73080574,3.41E-184,4.39E-184,411.3233917
ABCB11,12523,7.689259114,7.725713659,61.70860744,3.80E-184,4.90E-184,411.213272
ADAM28,17009,9.127563882,9.168986916,61.70216023,3.93E-184,5.06E-184,411.1812829
TXNDC5,14359,9.055863027,8.970383255,61.69463968,4.08E-184,5.25E-184,411.1439646
RAPGEF1,12902,9.667269417,9.691565532,61.69110097,4.15E-184,5.34E-184,411.1264036
TMEM127,3723,9.652138542,9.436392118,61.68938161,4.18E-184,5.39E-184,411.1178709
DNAH11,21195,6.791917491,6.869803298,61.68743784,4.22E-184,5.44E-184,411.1082243
MLANA,23785,9.096370761,9.259344964,61.68597319,4.25E-184,5.48E-184,411.1009553
QRICH2,13452,7.860533951,7.768506308,61.68374582,4.30E-184,5.54E-184,411.0899007
ING5,19470,7.210086331,7.183233737,61.68282573,4.32E-184,5.56E-184,411.085334
LOC105377871,26994,7.047665223,6.994097788,61.6777816,4.43E-184,5.71E-184,411.060298
MLYCD,2018,9.214085536,8.918729935,61.6709677,4.58E-184,5.90E-184,411.0264752
PTMS,23275,9.350796705,9.248806871,61.66907224,4.63E-184,5.96E-184,411.017066
LOC105376335,6766,7.693787745,7.712142418,61.66882223,4.63E-184,5.96E-184,411.0158249
TAP1,14987,8.424245398,8.59181823,61.66067008,4.82E-184,6.21E-184,410.9753539
