Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
ACOX3,24103,-36.09532758,12.05026522,-287.2345846,0,0,903.9333964
OR52N2,20364,-25.31638443,8.427076057,-287.2339507,0,0,903.9326946
GOLGA2P5,13683,-28.34629557,9.439855728,-287.2107444,0,0,903.9070025
ATP5F1B,1103,-32.73488931,10.89859989,-287.2001202,0,0,903.8952393
ALG2,11591,-24.40118178,8.112884834,-287.1708824,0,0,903.8628651
C1orf109,18935,-29.94196449,9.97570324,-287.1579911,0,0,903.8485897
LIMS4,20045,-20.07884601,6.69842581,-287.1566761,0,0,903.8471335
CACNB4,10827,-22.45743112,7.529053618,-287.1344012,0,0,903.8224654
MROH7,17879,-21.87711963,7.307194451,-287.127186,0,0,903.8144745
RMI2,296,-20.4652353,6.820656587,-287.1095506,0,0,903.7949424
LRRC52,5287,-19.79748504,6.587540607,-287.0898028,0,0,903.7730691
ABCG1,17187,-21.60781882,7.222999231,-287.0702289,0,0,903.7513868
SV2B,455,-23.50877491,7.835566871,-287.0631999,0,0,903.7436003
