Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
CNTNAP3P2,1310,0.07369128,8.60097088,0.846683513,0.397780557,0.997655044,-5.704115928
SPCS3,22944,-0.080005022,8.099211684,-0.846492973,0.397886645,0.997655044,-5.704268442
ADGRF5,24541,-0.064623603,6.599000215,-0.846492671,0.397886813,0.997655044,-5.704268684
ST6GALNAC6,623,0.062381778,7.986979874,0.846492606,0.397886849,0.997655044,-5.704268736
RAD51,24972,-0.029298699,7.019344213,-0.846432877,0.397920109,0.997655044,-5.704316538
LAMB2P1,12974,0.010626591,6.540705309,0.846429563,0.397921954,0.997655044,-5.70431919
TMEM14A,14272,0.104454186,7.053246387,0.84636082,0.397960235,0.997655044,-5.704374201
ZNF503,14320,0.102273563,7.044428952,0.846331591,0.397976512,0.997655044,-5.70439759
MBP,11892,0.010520722,6.54046769,0.846326891,0.397979129,0.997655044,-5.704401351
TRIM43CP,27052,-0.040792689,10.83299446,-0.846255933,0.398018647,0.997655044,-5.704458128
TSPYL1,10798,0.040484763,8.370637744,0.846144135,0.398080915,0.997655044,-5.704547574
COL8A1,3406,0.027155105,8.263666575,0.846128431,0.398089661,0.997655044,-5.704560137
EPG5,3465,0.094445973,7.584359553,0.846101423,0.398104705,0.997655044,-5.704581743
SRXN1,10573,0.027762492,8.315043251,0.84607074,0.398121796,0.997655044,-5.704606289
FOXA2,10833,0.010312107,6.530285721,0.846038408,0.398139806,0.997655044,-5.704632152
SPTLC3,19694,0.01037985,6.514321471,0.845986771,0.39816857,0.997655044,-5.704673455
ARMCX3,23041,-0.06809921,8.391101288,-0.8459858,0.398169111,0.997655044,-5.704674232
BOD1,9695,0.062219367,8.637339716,0.845881707,0.3982271,0.997655044,-5.704757487
COL14A1,26167,-0.025082702,6.849402774,-0.845820966,0.39826094,0.997655044,-5.704806064
TMEM236,9316,-0.104295711,11.45765356,-0.845794876,0.398275476,0.997655044,-5.704826928
LAMTOR5,148,0.046821748,7.573331982,0.845756056,0.398297105,0.997655044,-5.704857971
ZNF543,22408,0.011359511,6.722752071,0.845738142,0.398307086,0.997655044,-5.704872296
